#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  0.030000                0.200000              941.057527            934.640033           
  0.040000                0.266667              941.278730            932.993883           
  0.050000                0.333333              941.363046            931.265928           
  0.060000                0.400000              941.544900            929.684151           
  0.070000                0.466667              941.830032            928.258501           
  0.080000                0.533333              942.228731            927.003802           
  0.090000                0.600000              942.740954            925.923289           
  0.100000                0.666667              943.362192            925.014755           
  0.110000                0.733333              944.093168            924.281073           
  0.120000                0.800000              944.926850            923.715904           
  0.130000                0.866667              945.862435            923.319025           
  0.140000                0.933333              946.871525            923.083962           
  0.150000                1.000000              947.844659            923.003646           
  0.160000                1.066667              948.844621            923.076595           
  0.170000                1.133333              949.895449            923.300606           
  0.180000                1.200000              951.006700            923.670442           
  0.190000                1.266667              952.184894            924.182026           
  0.200000                1.333333              953.434013            924.830662           
  0.210000                1.400000              954.757703            925.612456           
  0.220000                1.466667              956.157116            926.522102           
  0.230000                1.533333              957.633741            927.555257           
  0.240000                1.600000              959.188258            928.707403           
  0.250000                1.666667              960.820702            929.973969           
  0.260000                1.733333              962.531534            931.351097           
  0.270000                1.800000              964.319475            932.833943           
  0.280000                1.866667              966.183971            934.418550           
  0.290000                1.933333              968.124062            936.100948           
  0.300000                2.000000              970.138469            937.877198           
  0.310000                2.066667              972.225653            939.743399           
  0.320000                2.133333              974.383935            941.695806           
  0.330000                2.200000              976.611481            943.730750           
  0.340000                2.266667              978.906877            945.845040           
  0.350000                2.333333              981.267696            948.034961           
  0.360000                2.400000              983.692483            950.297618           
  0.370000                2.466667              986.178876            952.629635           
  0.380000                2.533333              988.724917            955.028049           
  0.390000                2.600000              991.328695            957.490039           
  0.400000                2.666667              993.988162            960.012806           
  0.410000                2.733333              996.701229            962.593619           
  0.420000                2.800000              999.465923            965.229920           
  0.430000                2.866667              1002.280287            967.919251           
  0.440000                2.933333              1005.142397            970.659245           
  0.450000                3.000000              1008.050335            973.447607           
  0.460000                3.066667              1011.002281            976.282184           
  0.470000                3.133333              1014.042226            979.161032           
  0.480000                3.200000              1017.276111            982.076835           
  0.490000                3.266667              1020.594700            985.021091           
  0.500000                3.333333              1023.969716            987.989952           
  0.510000                3.400000              1027.388505            990.980883           
  0.520000                3.466667              1030.843381            993.991969           
  0.530000                3.533333              1034.329249            997.021707           
  0.540000                3.600000              1037.842155            1000.068809           
  0.550000                3.666667              1041.379238            1003.132241           
  0.560000                3.733333              1044.938032            1006.211049           
  0.570000                3.800000              1048.516542            1009.304396           
  0.580000                3.866667              1052.113170            1012.411603           
  0.590000                3.933333              1055.726382            1015.531962           
  0.600000                4.000000              1059.354985            1018.664911           
  0.610000                4.066667              1062.997810            1021.809876           
  0.620000                4.133333              1066.653857            1024.966346           
  0.630000                4.200000              1070.369697            1028.222599           
  0.640000                4.266667              1074.187124            1031.660555           
  0.650000                4.333333              1078.042559            1035.164253           
  0.660000                4.400000              1081.921341            1038.707626           
  0.670000                4.466667              1085.816502            1042.278672           
  0.680000                4.533333              1089.723969            1045.870508           
  0.690000                4.600000              1093.640977            1049.478589           
  0.700000                4.666667              1097.565553            1053.099745           
  0.710000                4.733333              1101.496196            1056.731627           
  0.720000                4.800000              1105.431747            1060.372455           
  0.730000                4.866667              1109.371281            1064.020831           
  0.740000                4.933333              1113.313993            1067.675614           
  0.750000                5.000000              1117.259291            1071.335934           
  0.760000                5.066667              1121.206601            1075.001003           
  0.770000                5.133333              1125.155465            1078.670196           
  0.780000                5.200000              1129.105502            1082.343007           
  0.790000                5.266667              1133.056346            1086.018970           
  0.800000                5.333333              1137.007684            1089.697682           
  0.810000                5.400000              1140.959254            1093.378818           
  0.820000                5.466667              1144.910799            1097.062078           
  0.830000                5.533333              1148.862109            1100.747213           
  0.840000                5.600000              1152.812977            1104.433980           
  0.850000                5.666667              1156.763222            1108.122167           
  0.860000                5.733333              1160.712680            1111.811611           
  0.870000                5.800000              1164.661191            1115.502133           
  0.880000                5.866667              1168.608636            1119.193602           
  0.890000                5.933333              1172.554862            1122.885853           
  0.900000                6.000000              1176.499751            1126.578777           
  0.910000                6.066667              1180.443210            1130.272276           
  0.920000                6.133333              1184.385123            1133.966230           
  0.930000                6.200000              1188.325392            1137.660554           
  0.940000                6.266667              1192.263916            1141.355128           
  0.950000                6.333333              1196.200620            1145.049892           
  0.960000                6.400000              1200.135427            1148.744779           
  0.970000                6.466667              1204.068252            1152.439702           
  0.980000                6.533333              1207.999030            1156.134598           
  0.990000                6.600000              1211.927684            1159.829396           
  1.000000                6.666667              1215.854144            1163.524027           
  1.010000                6.733333              1219.778368            1167.218455           
  1.020000                6.800000              1223.700289            1170.912611           
  1.030000                6.866667              1227.619821            1174.606420           
  1.040000                6.933333              1231.536965            1178.299883           
  1.050000                7.000000              1235.451612            1181.992896           
  1.060000                7.066667              1239.363783            1185.685478           
  1.070000                7.133333              1243.273373            1189.377530           
  1.080000                7.200000              1247.180345            1193.069006           
  1.090000                7.266667              1251.084674            1196.759894           
  1.100000                7.333333              1254.986331            1200.450159           
  1.110000                7.400000              1258.885221            1204.139708           
  1.120000                7.466667              1262.781367            1207.828569           
  1.130000                7.533333              1266.674732            1211.516698           
  1.140000                7.600000              1270.565217            1215.203996           
  1.150000                7.666667              1274.452850            1218.890489           
  1.160000                7.733333              1278.337599            1222.576147           
  1.170000                7.800000              1282.219395            1226.260894           
  1.180000                7.866667              1286.098238            1229.944732           
  1.190000                7.933333              1289.974099            1233.627621           
  1.200000                8.000000              1293.846933            1237.309524           
  1.210000                8.066667              1297.716707            1240.990394           
  1.220000                8.133333              1301.583424            1244.670232           
  1.230000                8.200000              1305.447077            1248.349034           
  1.240000                8.266667              1309.307582            1252.026696           
