#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  0.010000                0.066667              940.599443            937.977220           
  0.020000                0.133333              940.918337            936.340559           
  0.030000                0.200000              941.237222            934.703889           
  0.040000                0.266667              941.524231            933.035342           
  0.050000                0.333333              941.757308            931.312863           
  0.060000                0.400000              942.136115            929.736115           
  0.070000                0.466667              942.684321            928.328766           
  0.080000                0.533333              943.404021            927.092910           
  0.090000                0.600000              944.298501            926.031834           
  0.100000                0.666667              945.368446            925.146223           
  0.110000                0.733333              946.614400            924.436622           
  0.120000                0.800000              948.032214            923.898881           
  0.130000                0.866667              949.621372            923.532483           
  0.140000                0.933333              951.376971            923.332527           
  0.150000                1.000000              953.296854            923.296854           
  0.160000                1.066667              955.376098            923.420543           
  0.170000                1.133333              957.611204            923.700093           
  0.180000                1.200000              959.997672            924.131006           
  0.190000                1.266667              962.530340            924.708118           
  0.200000                1.333333              965.205103            925.427326           
  0.210000                1.400000              968.016846            926.283512           
  0.220000                1.466667              970.960196            927.271307           
  0.230000                1.533333              974.030498            928.386053           
  0.240000                1.600000              977.222709            929.622709           
  0.250000                1.666667              980.531599            930.976044           
  0.260000                1.733333              983.952202            932.441091           
  0.270000                1.800000              987.479560            934.012893           
  0.280000                1.866667              991.108922            935.686700           
  0.290000                1.933333              994.835538            937.457760           
  0.300000                2.000000              998.654693            939.321359           
  0.310000                2.066667              1002.556247            941.835969           
  0.320000                2.133333              1006.499237            945.327447           
  0.330000                2.200000              1010.464225            949.123378           
  0.340000                2.266667              1014.444517            953.086288           
  0.350000                2.333333              1018.436940            957.155987           
  0.360000                2.400000              1022.439691            961.298481           
  0.370000                2.466667              1026.451869            965.492745           
  0.380000                2.533333              1030.473042            969.724660           
  0.390000                2.600000              1034.502928            973.984629           
  0.400000                2.666667              1038.539791            978.081308           
  0.410000                2.733333              1042.579056            982.046098           
  0.420000                2.800000              1046.619402            985.952686           
  0.430000                2.866667              1050.660546            989.820079           
  0.440000                2.933333              1054.702535            993.657941           
  0.450000                3.000000              1058.745631            997.472335           
  0.460000                3.066667              1062.790117            1001.267423           
  0.470000                3.133333              1066.836359            1005.046325           
  0.480000                3.200000              1070.884667            1008.811415           
  0.490000                3.266667              1074.935360            1012.564785           
  0.500000                3.333333              1078.988747            1016.308100           
  0.510000                3.400000              1083.045063            1020.042730           
  0.520000                3.466667              1087.104591            1023.769759           
  0.530000                3.533333              1091.167527            1027.490382           
  0.540000                3.600000              1095.234050            1031.205502           
  0.550000                3.666667              1099.304319            1034.915805           
  0.560000                3.733333              1103.378475            1038.622103           
  0.570000                3.800000              1107.456621            1042.325048           
  0.580000                3.866667              1111.538824            1046.039236           
  0.590000                3.933333              1115.624773            1049.775781           
  0.600000                4.000000              1119.714383            1053.518963           
  0.610000                4.066667              1123.807675            1057.265599           
  0.620000                4.133333              1127.904647            1061.014438           
  0.630000                4.200000              1132.005327            1064.764751           
  0.640000                4.266667              1136.109744            1068.516351           
  0.650000                4.333333              1140.217918            1072.268976           
  0.660000                4.400000              1144.329828            1076.022603           
  0.670000                4.466667              1148.445503            1079.777201           
  0.680000                4.533333              1152.564915            1083.532800           
  0.690000                4.600000              1156.688073            1087.289426           
  0.700000                4.666667              1160.814930            1091.047139           
  0.710000                4.733333              1164.945469            1094.805956           
  0.720000                4.800000              1169.079650            1098.565972           
  0.730000                4.866667              1173.217446            1102.327201           
  0.740000                4.933333              1177.358781            1106.089722           
  0.750000                5.000000              1181.503657            1109.853553           
  0.760000                5.066667              1185.651978            1113.618783           
  0.770000                5.133333              1189.803708            1117.385380           
  0.780000                5.200000              1193.958780            1121.153438           
  0.790000                5.266667              1198.117147            1124.922960           
  0.800000                5.333333              1202.278736            1128.693978           
  0.810000                5.400000              1206.443479            1132.466515           
  0.820000                5.466667              1210.611320            1136.240569           
  0.830000                5.533333              1214.782194            1140.016200           
  0.840000                5.600000              1218.956016            1143.793347           
  0.850000                5.666667              1223.132721            1147.572061           
  0.860000                5.733333              1227.312261            1151.352356           
  0.870000                5.800000              1231.494553            1155.134196           
  0.880000                5.866667              1235.679520            1158.917613           
  0.890000                5.933333              1239.867098            1162.702552           
  0.900000                6.000000              1244.057219            1166.489056           
  0.910000                6.066667              1248.249811            1170.277091           
  0.920000                6.133333              1252.444815            1174.066642           
  0.930000                6.200000              1256.642138            1177.857703           
  0.940000                6.266667              1260.841734            1181.650235           
  0.950000                6.333333              1265.043527            1185.444251           
  0.960000                6.400000              1269.247451            1189.239724           
  0.970000                6.466667              1273.453440            1193.036602           
  0.980000                6.533333              1277.661421            1196.834902           
  0.990000                6.600000              1281.871344            1200.634584           
  1.000000                6.666667              1286.083137            1204.435621           
  1.010000                6.733333              1290.296722            1208.237987           
  1.020000                6.800000              1294.512082            1212.041682           
  1.030000                6.866667              1298.729113            1215.846653           
  1.040000                6.933333              1302.947769            1219.652867           
  1.050000                7.000000              1307.167965            1223.460285           
  1.060000                7.066667              1311.389700            1227.268949           
  1.070000                7.133333              1315.612862            1231.078738           
  1.080000                7.200000              1319.837433            1234.889699           
  1.090000                7.266667              1324.063328            1238.701747           
  1.100000                7.333333              1328.290509            1242.514878           
  1.110000                7.400000              1332.518901            1246.329050           
  1.120000                7.466667              1336.748505            1250.144272           
  1.130000                7.533333              1340.979197            1253.960446           
  1.140000                7.600000              1345.210998            1257.777612           
  1.150000                7.666667              1349.443831            1261.595723           
  1.160000                7.733333              1353.677613            1265.414695           
  1.170000                7.800000              1357.912343            1269.234558           
  1.180000                7.866667              1362.147955            1273.055265           
  1.190000                7.933333              1366.384385            1276.876743           
  1.200000                8.000000              1370.621640            1280.699051           
  1.210000                8.066667              1374.859628            1284.522083           
  1.220000                8.133333              1379.098292            1288.345803           
  1.230000                8.200000              1383.337679            1292.170274           
  1.240000                8.266667              1387.577667            1295.995383           
  1.250000                8.333333              1391.818247            1299.821132           
  1.260000                8.400000              1396.059352            1303.647460           
  1.270000                8.466667              1400.300983            1307.474390           
  1.280000                8.533333              1404.543065            1311.301834           
  1.290000                8.600000              1408.785606            1315.129842           
  1.300000                8.666667              1413.028524            1318.958303           
  1.310000                8.733333              1417.271835            1322.787272           
  1.320000                8.800000              1421.515438            1326.616636           
  1.330000                8.866667              1425.759332            1330.446404           
  1.340000                8.933333              1430.003517            1334.276590           
  1.350000                9.000000              1434.247908            1338.107100           
  1.360000                9.066667              1438.492534            1341.937992           
  1.370000                9.133333              1442.737301            1345.769148           
  1.380000                9.200000              1446.982219            1349.600607           
  1.390000                9.266667              1451.227211            1353.432278           
  1.400000                9.333333              1455.472316            1357.264214           
  1.410000                9.400000              1459.717468            1361.096343           
  1.420000                9.466667              1463.962676            1364.928695           
  1.430000                9.533333              1468.207838            1368.761151           
  1.440000                9.600000              1472.452980            1372.593754           
  1.450000                9.666667              1476.698076            1376.426467           
  1.460000                9.733333              1480.943087            1380.259255           
  1.470000                9.800000              1485.188023            1384.092150           
  1.480000                9.866667              1489.432818            1387.925059           
