#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  0.010000                0.066667              940.811807            938.194902           
  0.020000                0.133333              940.940816            936.387714           
  0.030000                0.200000              941.053086            934.587915           
  0.040000                0.266667              941.153265            932.809832           
  0.050000                0.333333              941.315356            931.137008           
  0.060000                0.400000              941.581350            929.620786           
  0.070000                0.466667              941.997473            928.316519           
  0.080000                0.533333              942.550076            927.219414           
  0.090000                0.600000              942.575128            925.673989           
  0.100000                0.666667              943.230640            924.846446           
  0.110000                0.733333              944.063786            924.291761           
  0.120000                0.800000              944.926730            923.869466           
  0.130000                0.866667              945.860977            923.627948           
  0.140000                0.933333              946.894407            923.601464           
  0.150000                1.000000              948.021546            923.790345           
  0.160000                1.066667              949.240466            924.197874           
  0.170000                1.133333              950.548835            924.826284           
  0.180000                1.200000              951.944330            925.677133           
  0.190000                1.266667              953.424930            926.751555           
  0.200000                1.333333              954.988864            928.050167           
  0.210000                1.400000              956.634496            929.572911           
  0.220000                1.466667              958.359421            931.318108           
  0.230000                1.533333              960.162732            933.284686           
  0.240000                1.600000              962.042222            935.469341           
  0.250000                1.666667              963.996471            937.868577           
  0.260000                1.733333              966.023913            940.477737           
  0.270000                1.800000              968.122672            943.290797           
  0.280000                1.866667              970.291307            946.301065           
  0.290000                1.933333              972.527937            949.500268           
  0.300000                2.000000              974.830823            952.879094           
  0.310000                2.066667              977.198232            956.427011           
  0.320000                2.133333              979.628387            960.132176           
  0.330000                2.200000              982.119499            963.981427           
  0.340000                2.266667              984.669718            967.960192           
  0.350000                2.333333              987.277239            972.052552           
  0.360000                2.400000              989.940196            976.241097           
  0.370000                2.466667              992.656783            980.507001           
  0.380000                2.533333              995.425181            984.829907           
  0.390000                2.600000              998.243630            989.187967           
  0.400000                2.666667              1001.110378            993.557738           
  0.410000                2.733333              1004.023557            997.914018           
  0.420000                2.800000              1006.982557            1002.231188           
  0.430000                2.866667              1009.984299            1006.479432           
  0.440000                2.933333              1013.118082            1010.719547           
  0.450000                3.000000              1016.436380            1014.973702           
  0.460000                3.066667              1019.827439            1019.097988           
  0.470000                3.133333              1023.246221            1023.013323           
  0.480000                3.200000              1026.748108            1026.739115           
  0.490000                3.266667              1030.329074            1030.233388           
  0.500000                3.333333              1033.978606            1033.445670           
  0.510000                3.400000              1037.823091            1036.460329           
  0.520000                3.466667              1041.719507            1039.090230           
  0.530000                3.533333              1045.621440            1041.242705           
  0.540000                3.600000              1049.537890            1042.878322           
  0.550000                3.666667              1053.469314            1043.946882           
  0.560000                3.733333              1057.412392            1044.392147           
  0.570000                3.800000              1061.363977            1044.155746           
  0.580000                3.866667              1065.322408            1043.178451           
  0.590000                3.933333              1069.286463            1041.399079           
  0.600000                4.000000              1073.255210            1038.754315           
  0.610000                4.066667              1077.227904            1035.178552           
  0.620000                4.133333              1081.203945            1030.603820           
  0.630000                4.200000              1085.182836            1024.959700           
  0.640000                4.266667              1089.164154            1018.173245           
  0.650000                4.333333              1093.147551            1010.168952           
  0.660000                4.400000              1097.132711            1000.868666           
  0.670000                4.466667              1101.119380            990.191577           
  0.680000                4.533333              1105.107305            978.054113           
  0.690000                4.600000              1109.096284            964.369951           
  0.700000                4.666667              1113.086124            949.049930           
  0.710000                4.733333              1117.076643            932.002014           
  0.720000                4.800000              1121.067691            913.131271           
  0.730000                4.866667              1125.059108            892.339790           
  0.740000                4.933333              1129.050765            869.526679           
  0.750000                5.000000              1133.042549            844.588011           
  0.760000                5.066667              1137.034330            817.416746           
  0.770000                5.133333              1141.025986            787.902716           
  0.780000                5.200000              1145.017413            755.932595           
  0.790000                5.266667              1149.008510            721.389839           
  0.800000                5.333333              1152.999160            684.154632           
  0.810000                5.400000              1156.989294            644.103899           
  0.820000                5.466667              1160.978811            601.111192           
  0.830000                5.533333              1164.967637            555.046704           
  0.840000                5.600000              1168.955654            505.777159           
  0.850000                5.666667              1172.942826            453.165892           
  0.860000                5.733333              1176.929030            397.072644           
  0.870000                5.800000              1180.914214            337.353676           
  0.880000                5.866667              1184.898304            273.861630           
  0.890000                5.933333              1188.881232            206.445524           
  0.900000                6.000000              1192.862910            134.950680           
  0.910000                6.066667              1196.843278             59.218727           
  0.920000                6.133333              1200.822284            -20.912453           
  0.930000                6.200000              1204.799839            -105.608819           
  0.940000                6.266667              1208.775910            -195.040114           
  0.950000                6.333333              1212.750404            -289.380023           
  0.960000                6.400000              1216.723287            -388.806101           
  0.970000                6.466667              1220.694490            -493.499903           
  0.980000                6.533333              1224.663956            -603.646978           
  0.990000                6.600000              1228.631648            -719.436911           
  1.000000                6.666667              1232.597490            -841.063409           
  1.010000                6.733333              1236.561421            -968.724305           
  1.020000                6.800000              1240.523437            -1102.621542           
  1.030000                6.866667              1244.483459            -1242.961361           
  1.040000                6.933333              1248.441421            -1389.954243           
  1.050000                7.000000              1252.397283            -1543.814943           
  1.060000                7.066667              1256.351037            -1704.762525           
  1.070000                7.133333              1260.302605            -1873.020505           
  1.080000                7.200000              1264.251961            -2048.816771           
  1.090000                7.266667              1268.199033            -2232.383722           
  1.100000                7.333333              1272.143838            -2423.958177           
  1.110000                7.400000              1276.086248            -2623.781643           
  1.120000                7.466667              1280.026299            -2832.100058           
  1.130000                7.533333              1283.963937            -3049.164080           
  1.140000                7.600000              1287.898863            -3275.229283           
  1.150000                7.666667              1291.831462            -3510.555276           
  1.160000                7.733333              1295.761640            -3755.406897           
  1.170000                7.800000              1299.689534            -4010.053557           
  1.180000                7.866667              1303.614531            -4274.770252           
  1.190000                7.933333              1307.536879            -4549.835998           
  1.200000                8.000000              1311.456571            -4835.534990           
  1.210000                8.066667              1315.373592            -5132.156395           
  1.220000                8.133333              1319.287860            -5439.994450           
  1.230000                8.200000              1323.199399            -5759.348336           
  1.240000                8.266667              1327.108148            -6090.522403           
  1.250000                8.333333              1331.014121            -6433.826061           
  1.260000                8.400000              1334.917215            -6789.574005           
  1.270000                8.466667              1338.817493            -7158.085981           
  1.280000                8.533333              1342.714851            -7539.687151           
  1.290000                8.600000              1346.609322            -7934.707841           
  1.300000                8.666667              1350.500854            -8343.483798           
  1.310000                8.733333              1354.389431            -8766.356112           
  1.320000                8.800000              1358.275056            -9203.671277           
  1.330000                8.866667              1362.157631            -9655.781344           
  1.340000                8.933333              1366.037221            -10123.043714           
  1.350000                9.000000              1369.913766            -10605.821452           
  1.360000                9.066667              1373.787227            -11104.483192           
  1.370000                9.133333              1377.657621            -11619.403138           
  1.380000                9.200000              1381.524928            -12150.961205           
  1.390000                9.266667              1385.389112            -12699.543031           
  1.400000                9.333333              1389.250155            -13265.539993           
  1.410000                9.400000              1393.108044            -13849.349255           
  1.420000                9.466667              1396.962765            -14451.373822           
  1.430000                9.533333              1400.814339            -15072.022537           
  1.440000                9.600000              1404.662667            -15711.710285           
  1.450000                9.666667              1408.507780            -16370.857784           
  1.460000                9.733333              1412.349673            -17049.891787           
  1.470000                9.800000              1416.188324            -17749.245108           
  1.480000                9.866667              1420.023706            -18469.356654           
  1.490000                9.933333              1423.855820            -19210.671431           
  1.500000               10.000000              1427.684695            -19973.640583           
  1.510000               10.066667              1431.510229            -20758.721598           
  1.520000               10.133333              1435.332445            -21566.378088           
  1.530000               10.200000              1439.151366            -22397.079962           
  1.540000               10.266667              1442.966957            -23251.303519           
  1.550000               10.333333              1446.779205            -24129.531413           
  1.560000               10.400000              1450.588088            -25032.252726           
  1.570000               10.466667              1454.393628            -25959.962953           
  1.580000               10.533333              1458.195791            -26913.164148           
  1.590000               10.600000              1461.994577            -27892.364875           
  1.600000               10.666667              1465.789974            -28898.080290           
  1.610000               10.733333              1469.581958            -29930.832192           
  1.620000               10.800000              1473.370553            -30991.148993           
  1.630000               10.866667              1477.155743            -32079.565860           
  1.640000               10.933333              1480.937479            -33196.624739           
  1.650000               11.000000              1484.715800            -34342.874281           
  1.660000               11.066667              1488.490713            -35518.870002           
  1.670000               11.133333              1492.262155            -36725.174366           
  1.680000               11.200000              1496.030172            -37962.356640           
  1.690000               11.266667              1499.794723            -39230.993139           
  1.700000               11.333333              1503.555834            -40531.667109           
  1.710000               11.400000              1507.313474            -41864.968897           
  1.720000               11.466667              1511.067639            -43231.495901           
  1.730000               11.533333              1514.818313            -44631.852659           
  1.740000               11.600000              1518.565526            -46066.650827           
