#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  0.010000                0.066667              940.811807            938.238948           
  0.020000                0.133333              940.940816            936.472267           
  0.030000                0.200000              941.053086            934.705138           
  0.040000                0.266667              941.153265            932.953558           
  0.050000                0.333333              941.315356            931.269514           
  0.060000                0.400000              941.581350            929.683960           
  0.070000                0.466667              941.997473            928.268596           
  0.080000                0.533333              942.550076            927.025226           
  0.090000                0.600000              942.575128            925.913567           
  0.100000                0.666667              943.230640            925.008831           
  0.110000                0.733333              944.063786            924.279309           
  0.120000                0.800000              944.926730            923.716475           
  0.130000                0.866667              945.860977            923.318236           
  0.140000                0.933333              946.894407            923.084457           
  0.150000                1.000000              948.021546            923.010511           
  0.160000                1.066667              949.240466            923.091313           
  0.170000                1.133333              950.548835            923.323809           
  0.180000                1.200000              951.944330            923.702733           
  0.190000                1.266667              953.424930            924.223894           
  0.200000                1.333333              954.988864            924.882677           
  0.210000                1.400000              956.634496            925.674547           
  0.220000                1.466667              958.359421            926.594244           
  0.230000                1.533333              960.162732            927.637756           
  0.240000                1.600000              962.042222            928.800042           
  0.250000                1.666667              963.996471            930.076678           
  0.260000                1.733333              966.023913            931.463350           
  0.270000                1.800000              968.122672            932.955453           
  0.280000                1.866667              970.291307            934.548951           
  0.290000                1.933333              972.527937            936.239562           
  0.300000                2.000000              974.830823            938.023208           
  0.310000                2.066667              977.198232            939.896036           
  0.320000                2.133333              979.628387            941.854256           
  0.330000                2.200000              982.119499            943.894213           
  0.340000                2.266667              984.669718            946.012357           
  0.350000                2.333333              987.277239            948.205293           
  0.360000                2.400000              989.940196            950.469700           
  0.370000                2.466667              992.656783            952.802450           
  0.380000                2.533333              995.425181            955.200504           
  0.390000                2.600000              998.243630            957.660981           
  0.400000                2.666667              1001.110378            960.181126           
  0.410000                2.733333              1004.023557            962.758155           
  0.420000                2.800000              1006.982557            965.389597           
  0.430000                2.866667              1009.984299            968.073158           
  0.440000                2.933333              1013.118082            970.806204           
  0.450000                3.000000              1016.436380            973.584973           
  0.460000                3.066667              1019.827439            976.385419           
  0.470000                3.133333              1023.246221            979.161967           
  0.480000                3.200000              1026.748108            982.047513           
  0.490000                3.266667              1030.329074            985.049616           
  0.500000                3.333333              1033.978606            988.156472           
  0.510000                3.400000              1037.823091            991.642715           
  0.520000                3.466667              1041.719507            995.221286           
  0.530000                3.533333              1045.621440            998.797961           
  0.540000                3.600000              1049.537890            1002.393502           
  0.550000                3.666667              1053.469314            1006.010780           
  0.560000                3.733333              1057.412392            1009.644276           
  0.570000                3.800000              1061.363977            1013.288458           
  0.580000                3.866667              1065.322408            1016.940748           
  0.590000                3.933333              1069.286463            1020.599346           
  0.600000                4.000000              1073.255210            1024.262964           
  0.610000                4.066667              1077.227904            1027.930613           
  0.620000                4.133333              1081.203945            1031.601546           
  0.630000                4.200000              1085.182836            1035.275187           
  0.640000                4.266667              1089.164154            1038.951067           
  0.650000                4.333333              1093.147551            1042.628832           
  0.660000                4.400000              1097.132711            1046.308179           
  0.670000                4.466667              1101.119380            1049.988872           
  0.680000                4.533333              1105.107305            1053.670723           
  0.690000                4.600000              1109.096284            1057.353588           
  0.700000                4.666667              1113.086124            1061.037337           
  0.710000                4.733333              1117.076643            1064.721845           
  0.720000                4.800000              1121.067691            1068.407038           
  0.730000                4.866667              1125.059108            1072.092825           
  0.740000                4.933333              1129.050765            1075.779150           
  0.750000                5.000000              1133.042549            1079.465942           
  0.760000                5.066667              1137.034330            1083.153166           
  0.770000                5.133333              1141.025986            1086.840772           
  0.780000                5.200000              1145.017413            1090.528723           
  0.790000                5.266667              1149.008510            1094.216977           
  0.800000                5.333333              1152.999160            1097.905494           
  0.810000                5.400000              1156.989294            1101.594256           
  0.820000                5.466667              1160.978811            1105.283209           
  0.830000                5.533333              1164.967637            1108.972348           
  0.840000                5.600000              1168.955654            1112.661620           
  0.850000                5.666667              1172.942826            1116.351042           
  0.860000                5.733333              1176.929030            1120.040536           
  0.870000                5.800000              1180.914214            1123.730108           
  0.880000                5.866667              1184.898304            1127.419725           
  0.890000                5.933333              1188.881232            1131.109351           
  0.900000                6.000000              1192.862910            1134.798961           
  0.910000                6.066667              1196.843278            1138.488532           
  0.920000                6.133333              1200.822284            1142.178051           
  0.930000                6.200000              1204.799839            1145.867473           
  0.940000                6.266667              1208.775910            1149.556789           
  0.950000                6.333333              1212.750404            1153.245956           
  0.960000                6.400000              1216.723287            1156.934962           
  0.970000                6.466667              1220.694490            1160.623760           
  0.980000                6.533333              1224.663956            1164.312337           
  0.990000                6.600000              1228.631648            1168.000684           
  1.000000                6.666667              1232.597490            1171.688747           
  1.010000                6.733333              1236.561421            1175.376496           
  1.020000                6.800000              1240.523437            1179.063940           
